Converting PZ into negative
Starting reading in a PZ file
Image is 851 x 315
Description is My Pelicans ! 
263336 runs
Run 0 has length 1
Run 1 has length 1
Run 2 has length 1
Run 3 has length 1
Run 4 has length 1
Run 5 has length 1
Run 6 has length 1
Run 7 has length 1
Run 8 has length 1
Run 9 has length 1
Run 10 has length 1
Run 11 has length 1
Run 12 has length 1
Run 13 has length 1
Run 14 has length 1
Run 15 has length 1
Run 16 has length 1
Run 17 has length 1
Run 18 has length 1
Run 19 has length 1
Run 20 has length 1
Run 21 has length 1
Run 22 has length 1
Run 23 has length 1
Run 24 has length 1
Run 25 has length 1
Run 26 has length 1
Run 27 has length 1
Run 28 has length 1
Run 29 has length 1
Run 30 has length 1
Run 31 has length 1
Run 32 has length 1
Run 33 has length 1
Run 34 has length 1
Run 35 has length 1
Run 36 has length 1
Run 37 has length 1
Run 38 has length 1
Run 39 has length 1
Run 40 has length 1
Run 41 has length 1
Run 42 has length 1
Run 43 has length 1
Run 44 has length 1
Run 45 has length 1
Run 46 has length 1
Run 47 has length 1
Run 48 has length 1
Run 49 has length 1
Run 50 has length 1
Run 51 has length 1
Run 52 has length 1
Run 53 has length 1
Run 54 has length 1
Run 55 has length 1
Run 56 has length 1
Run 57 has length 1
Run 58 has length 1
Run 59 has length 1
Run 60 has length 1
Run 61 has length 1
Run 62 has length 1
Run 63 has length 1
Run 64 has length 1
Run 65 has length 1
Run 66 has length 1
Run 67 has length 1
Run 68 has length 1
Run 69 has length 1
Run 70 has length 1
Run 71 has length 1
Run 72 has length 1
Run 73 has length 1
Run 74 has length 1
Run 75 has length 1
Run 76 has length 1
Run 77 has length 1
Run 78 has length 1
Run 79 has length 1
Run 80 has length 1
Run 81 has length 1
Run 82 has length 1
Run 83 has length 1
Run 84 has length 1
Run 85 has length 2
Run 86 has length 1
Run 87 has length 1
Run 88 has length 1
Run 89 has length 1
Run 90 has length 1
Run 91 has length 1
Run 92 has length 1
Run 93 has length 1
Run 94 has length 1
Run 95 has length 1
Run 96 has length 1
Run 97 has length 1
Run 98 has length 1
Run 99 has length 1
Run 100 has length 1
Run 101 has length 1
Run 102 has length 1
Run 103 has length 1
Run 104 has length 1
Run 105 has length 1
Run 106 has length 2
Run 107 has length 1
Run 108 has length 1
Run 109 has length 1
Run 110 has length 1
Run 111 has length 1
Run 112 has length 1
Run 113 has length 1
Run 114 has length 1
Run 115 has length 1
Run 116 has length 2
Run 117 has length 2
Run 118 has length 1
Run 119 has length 1
Run 120 has length 1
Run 121 has length 1
Run 122 has length 1
Run 123 has length 1
Run 124 has length 1
Run 125 has length 1
Run 126 has length 1
Run 127 has length 1
Run 128 has length 1
Run 129 has length 1
Run 130 has length 1
Run 131 has length 1
Run 132 has length 1
Run 133 has length 1
Run 134 has length 1
Run 135 has length 1
Run 136 has length 1
Run 137 has length 1
Run 138 has length 2
Run 139 has length 1
Run 140 has length 1
Run 141 has length 2
Run 142 has length 1
Run 143 has length 1
Run 144 has length 1
Run 145 has length 1
Run 146 has length 1
